Categories,Title,Snippet
Music, Mariah Carey's Twitter account hacked on New Year's Eve,"Mariah Carey’s Twitter account appeared to have been hacked late Tuesday afternoon, sharing numerous racist slurs and comments with the singer’s 21.4 …"
Sport, Twenty athletes set to light up the Tokyo 2020 Olympics,"Dina Asher-Smith Great Britain Athletics, 100m, 200m, 4x100m Seb Coe, who knows a thing or two about winning Olympic titles, believes Asher-Smith will …"
Politics, Clive Lewis calls for unity among Labour leadership hopefuls,Summary: The Labour leadership hopeful Clive Lewis has called for unity among would-be candidates to succeed Jeremy Corbyn as they confront the “cliff face” of …
Sport, Michael van Gerwen 3-7 Peter Wright: PDC world darts championship final – as it happened,"Summary: That’s it for tonight’s blog, so I’ll leave you with a report from Ally Pally. Thanks for your company, goodnight! There’s so much affection for Peter …"
Music, Woodford folk festival review – a much-needed moment of positivity and reprieve,"If Woodford folk festival was in mourning this year, you wouldn’t have known it. The death in May of festival elder and decade-long patron Bob Hawke c …"
Politics, Sadiq Khan pledges free London travel for disabled people's carers,Sadiq Khan has kickstarted his bid for a second term as London mayor by pledging free travel on the city’s transport for anyone accompanying a disable …
Music, Tara Erraught/James Baillieu review – quietly intense and simply exquisite,"Irish mezzo Tara Erraught’s latest Wigmore recital with her pianist James Baillieu took place between Christmas and New Year, though her beautifully c …"
Sport, Talking Horses: picking the five best races of the last decade,"You might take the view that the end of the decade is actually a year away, but at least it’s 10 years since I last did something like this. I’ve limi …"
Sport, England ready for tortoise and hare race in second Test at Newlands,"As Harold Macmillan is supposed to have explained, there are times when the best‑laid plans disappear like melting snow in springtime and a whole new …"
Politics," Whitehall reforms may lead to discrimination, says union","Boris Johnson’s “seismic” Whitehall reforms, including regular exams for senior civil servants, could lead to discrimination against staff on the grou …"
Politics, Starmer says he wants Labour 'rebuilt ... as trusted force for good' as poll puts him leadership favourite – as it happened,"Sir Keir Starmer, the shadow Brexit secretary, has called for Labour to be rebuilt “as a trusted force for good” following its election defeat. He was …"
Sport, Faf du Plessis says form not colour determines South Africa selection,Summary: Faf du Plessis said form takes precedence over transformation after it emerged South Africa would again fail to meet their target of selecting six non …
Sport, England’s Rory Burns out of ‘cursed’ tour after rolling ankle playing football,Ben Stokes revealed this week that England’s players are calling their assignment in South Africa “the cursed tour” and yet more evidence that is the …
Politics, Keir Starmer calls to rebuild party as 'force for good',"Summary: Sir Keir Starmer, the favourite to succeed Jeremy Corbyn as Labour leader, has called for the party to become a “trusted force for good” as up to nine …"
Politics, Dominic Cummings calls for 'weirdos and misfits' for No 10 jobs,"Dominic Cummings, Boris Johnson’s chief adviser, has written a rambling blog calling for “weirdos and misfits with odd skills” to apply for new jobs w …"
Sport," Australia v New Zealand: third Test, day one – as it happened",Here is the report of day one at the SCG. New Zealand’s disastrous tour plumbed new depths on the opening day of the Sydney Test. The visitors made fi …
Music, 'Do something weird that works on TikTok': how to write a pop smash in 2020,Landing a No 1 single was a little different at the beginning of the 2010s than it is now. The songwriting and production team TMS – who have achieved …
Sport, Talking Horses: Gay Kelleway claims trainers are running lame horses,Gay Kelleway has made a strongly worded call for more pre-race checks of racehorses and accused some of her colleagues of sending horses to the track …
Music," Tracks of the week reviewed: Raye, Usher, Lil Uzi Vert","Raye Please Don’t Touch You heard it here first: London pop star Rachel Keen, AKA Raye, is the artist most likely to “do a Dua” in 2020 and make the l …"
Music, Lost in muzak: how ambient became cool,"When Wire, a nightclub in Leeds city centre, recently announced its first residency, it came with a calm-inducing addition: ambient listening sessions …"
Sport, Sandown will toast absent friends in honour of Houblon Des Obeaux,"Summary: “Absent friends” must be the toast at Sandown on Saturday, where a big effort will be made to memorialise Houblon Des Obeaux, one of the gamest of ste …"
Sport, Chess: Carlsen wins speed titles after controversial game with rising star,"Summary: Magnus Carlsen ended his vintage year of 2019 as he began it, as a superb all-round player who outclasses his rivals. Carlsen won at Wijk in January l …"
Politics, Why Iain Duncan Smith knighthood was ‘slap in the face’,"The new year honours list is a reliable source of controversy, with perennial outrage about the worthiness of the recipients. But the knighthood given …"
Sport, Why the Dallas Cowboys opening is the best coaching job on the market,"Jason Garrett is finally, mercifully out as the Dallas Cowboys head coach. Make no mistake, this is a lifetime achievement award, not a reaction to th …"
